"Fecha de Emisión";"Tipo de Comprobante";"Punto de Venta";"Número de Comprobante";"Número de Comprobante Hasta";"Tipo Doc. Comprador";"Nro. Doc. Comprador";"Denominación Comprador";"Fecha de Vencimiento del Pago";"Importe Total";"Moneda Original";"Tipo de Cambio";"Importe No Gravado";"Importe Exento";"Importe de Per. o Pagos a Cta. de Otros Imp. Nac.";"Importe de Percepciones de Ingresos Brutos";"Importe de Impuestos Municipales";"Percepción a No Categorizados";"Importe de Impuestos Internos";"Importe Otros Tributos";"Neto Gravado IVA 0%";"Neto Gravado IVA 2,5%";"Importe IVA 2,5%";"Neto Gravado IVA 5%";"Importe IVA 5%";"Neto Gravado IVA 10,5%";"Importe IVA 10,5%";"Neto Gravado IVA 21%";"Importe IVA 21%";"Neto Gravado IVA 27%";"Importe IVA 27%";"Total Neto Gravado";"Total IVA"
2023-07-06;1;1;447;447;80;30717840948;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-07-06;6091335,38;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;5034161,48;1057173,91;;;5034161,48;1057173,90
2023-07-07;1;1;448;448;80;30717840948;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-07-07;1931018,39;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1595882,95;335135,42;;;1595882,95;335135,40
2023-07-08;1;1;450;450;80;30717831426;"CENTRO CONSTRUCCIONES S.A. - BASAA S.A.- UT QUILMES U. T. E.";2023-07-08;1411949,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1166900,00;245049,00;;;1166900,00;245049,00
2023-07-28;1;1;454;454;80;30717831426;"CENTRO CONSTRUCCIONES S.A. - BASAA S.A.- UT QUILMES U. T. E.";2023-07-28;5647796,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;4667600,00;980196,00;;;4667600,00;980196,00
2023-07-08;1;1;449;449;80;30717831426;"CENTRO CONSTRUCCIONES S.A. - BASAA S.A.- UT QUILMES U. T. E.";2023-07-08;305525,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;252500,00;53025,00;;;252500,00;53025,00
2023-07-08;3;1;42;42;80;30717831426;"CENTRO CONSTRUCCIONES S.A. - BASAA S.A.- UT QUILMES U. T. E.";2023-07-08;-305525,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;-252500,00;-53025,00;;;-252500,00;-53025,00
2023-07-11;1;1;451;451;80;30717840948;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-07-11;6429720,20;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;5313818,33;1115901,85;;;5313818,33;1115901,90
2023-07-11;3;1;43;43;80;30717840948;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-07-11;-6091335,38;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;-5034161,48;-1057173,91;;;-5034161,48;-1057173,90
2023-07-19;1;1;452;452;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-07-19;1395722,90;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1153490,00;242232,90;;;1153490,00;242232,90
2023-07-19;1;1;453;453;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-07-19;1129383,75;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;933375,00;196008,75;;;933375,00;196008,80
